ticker,day
NFLX,2025-11-20
NFLX,2025-11-21
NFLX,2025-11-24
NFLX,2025-11-25
NFLX,2025-11-26
NFLX,2025-11-27
NFLX,2025-11-28
NFLX,2025-12-01
NFLX,2025-12-02
NFLX,2025-12-03
NFLX,2025-12-04
NFLX,2025-12-05
NFLX,2025-12-08
NFLX,2025-12-09
NFLX,2025-12-10
NFLX,2025-12-11
NFLX,2025-12-12
NFLX,2025-12-15
NFLX,2025-12-16
NFLX,2025-12-17
NFLX,2025-12-18
NFLX,2025-12-19
NFLX,2025-12-22
NFLX,2025-12-23
NFLX,2025-12-24
NFLX,2025-12-25
NFLX,2025-12-26
NFLX,2025-12-29
NFLX,2025-12-30
NFLX,2025-12-31
NFLX,2026-01-01
NFLX,2026-01-02
NFLX,2026-01-05
NFLX,2026-01-06
NFLX,2026-01-07
NFLX,2026-01-08
NFLX,2026-01-09
NFLX,2026-01-12
NFLX,2026-01-13
NFLX,2026-01-14
NFLX,2026-01-15
PLTR,2025-10-15
PLTR,2025-10-16
PLTR,2025-10-17
PLTR,2025-10-20
PLTR,2025-10-21
PLTR,2025-10-22
PLTR,2025-10-23
PLTR,2025-10-24
PLTR,2025-10-27
PLTR,2025-10-28
PLTR,2025-10-29
PLTR,2025-10-30
PLTR,2025-10-31
PLTR,2025-11-03
PLTR,2025-11-04
PLTR,2025-11-05
PLTR,2025-11-06
PLTR,2025-11-07
PLTR,2025-11-10
PLTR,2025-11-11
PLTR,2025-11-12
PLTR,2025-11-13
PLTR,2025-11-14
PLTR,2025-11-17
PLTR,2025-11-18
PLTR,2025-11-19
PLTR,2025-11-20
PLTR,2025-11-21
PLTR,2025-11-24
PLTR,2025-11-25
PLTR,2025-11-26
PLTR,2025-11-27
PLTR,2025-11-28
PLTR,2025-12-01
PLTR,2025-12-02
PLTR,2025-12-03
PLTR,2025-12-04
PLTR,2025-12-05
PLTR,2025-12-08
PLTR,2025-12-09
PLTR,2025-12-10
PLTR,2025-12-11
PLTR,2025-12-12
PLTR,2025-12-15
PLTR,2025-12-16
PLTR,2025-12-17
PLTR,2025-12-18
PLTR,2025-12-19
PLTR,2025-12-22
PLTR,2025-12-23
PLTR,2025-12-24
PLTR,2025-12-25
PLTR,2025-12-26
PLTR,2025-12-29
PLTR,2025-12-30
PLTR,2025-12-31
PLTR,2026-01-01
PLTR,2026-01-02
PLTR,2026-01-05
PLTR,2026-01-06
PLTR,2026-01-07
PLTR,2026-01-08
PLTR,2026-01-09
PLTR,2026-01-12
PLTR,2026-01-13
PLTR,2026-01-14
PLTR,2026-01-15
SPY,2025-10-15
SPY,2025-10-16
SPY,2025-10-17
SPY,2025-10-20
SPY,2025-10-21
SPY,2025-10-22
SPY,2025-10-23
SPY,2025-10-24
SPY,2025-10-27
SPY,2025-10-28
SPY,2025-10-29
SPY,2025-10-30
SPY,2025-10-31
SPY,2025-11-03
SPY,2025-11-04
SPY,2025-11-05
SPY,2025-11-06
SPY,2025-11-07
SPY,2025-11-10
SPY,2025-11-11
SPY,2025-11-12
SPY,2025-11-13
SPY,2025-11-14
SPY,2025-11-17
SPY,2025-11-18
SPY,2025-11-19
SPY,2025-11-20
SPY,2025-11-21
SPY,2025-11-24
SPY,2025-11-25
SPY,2025-11-26
SPY,2025-11-27
SPY,2025-11-28
SPY,2025-12-01
SPY,2025-12-02
SPY,2025-12-03
SPY,2025-12-04
SPY,2025-12-05
SPY,2025-12-08
SPY,2025-12-09
SPY,2025-12-10
SPY,2025-12-11
SPY,2025-12-12
SPY,2025-12-15
SPY,2025-12-16
SPY,2025-12-17
SPY,2025-12-18
SPY,2025-12-19
SPY,2025-12-22
SPY,2025-12-23
SPY,2025-12-24
SPY,2025-12-25
SPY,2025-12-26
SPY,2025-12-29
SPY,2025-12-30
SPY,2025-12-31
SPY,2026-01-01
SPY,2026-01-02
SPY,2026-01-05
SPY,2026-01-06
SPY,2026-01-07
SPY,2026-01-08
SPY,2026-01-09
SPY,2026-01-12
SPY,2026-01-13
SPY,2026-01-14
SPY,2026-01-15
QQQ,2025-10-15
QQQ,2025-10-16
QQQ,2025-10-17
QQQ,2025-10-20
QQQ,2025-10-21
QQQ,2025-10-22
QQQ,2025-10-23
QQQ,2025-10-24
QQQ,2025-10-27
QQQ,2025-10-28
QQQ,2025-10-29
QQQ,2025-10-30
QQQ,2025-10-31
QQQ,2025-11-03
QQQ,2025-11-04
QQQ,2025-11-05
QQQ,2025-11-06
QQQ,2025-11-07
QQQ,2025-11-10
QQQ,2025-11-11
QQQ,2025-11-12
QQQ,2025-11-13
QQQ,2025-11-14
QQQ,2025-11-17
QQQ,2025-11-18
QQQ,2025-11-19
QQQ,2025-11-20
QQQ,2025-11-21
QQQ,2025-11-24
QQQ,2025-11-25
QQQ,2025-11-26
QQQ,2025-11-27
QQQ,2025-11-28
QQQ,2025-12-01
QQQ,2025-12-02
QQQ,2025-12-03
QQQ,2025-12-04
QQQ,2025-12-05
QQQ,2025-12-08
QQQ,2025-12-09
QQQ,2025-12-10
QQQ,2025-12-11
QQQ,2025-12-12
QQQ,2025-12-15
QQQ,2025-12-16
QQQ,2025-12-17
QQQ,2025-12-18
QQQ,2025-12-19
QQQ,2025-12-22
QQQ,2025-12-23
QQQ,2025-12-24
QQQ,2025-12-25
QQQ,2025-12-26
QQQ,2025-12-29
QQQ,2025-12-30
QQQ,2025-12-31
QQQ,2026-01-01
QQQ,2026-01-02
QQQ,2026-01-05
QQQ,2026-01-06
QQQ,2026-01-07
QQQ,2026-01-08
QQQ,2026-01-09
QQQ,2026-01-12
QQQ,2026-01-13
QQQ,2026-01-14
QQQ,2026-01-15
XLK,2025-10-15
XLK,2025-10-16
XLK,2025-10-17
XLK,2025-10-20
XLK,2025-10-21
XLK,2025-10-22
XLK,2025-10-23
XLK,2025-10-24
XLK,2025-10-27
XLK,2025-10-28
XLK,2025-10-29
XLK,2025-10-30
XLK,2025-10-31
XLK,2025-11-03
XLK,2025-11-04
XLK,2025-11-05
XLK,2025-11-06
XLK,2025-11-07
XLK,2025-11-10
XLK,2025-11-11
XLK,2025-11-12
XLK,2025-11-13
XLK,2025-11-14
XLK,2025-11-17
XLK,2025-11-18
XLK,2025-11-19
XLK,2025-11-20
XLK,2025-11-21
XLK,2025-11-24
XLK,2025-11-25
XLK,2025-11-26
XLK,2025-11-27
XLK,2025-11-28
XLK,2025-12-01
XLK,2025-12-02
XLK,2025-12-03
XLK,2025-12-04
XLK,2025-12-05
XLK,2025-12-08
XLK,2025-12-09
XLK,2025-12-10
XLK,2025-12-11
XLK,2025-12-12
XLK,2025-12-15
XLK,2025-12-16
XLK,2025-12-17
XLK,2025-12-18
XLK,2025-12-19
XLK,2025-12-22
XLK,2025-12-23
XLK,2025-12-24
XLK,2025-12-25
XLK,2025-12-26
XLK,2025-12-29
XLK,2025-12-30
XLK,2025-12-31
XLK,2026-01-01
XLK,2026-01-02
XLK,2026-01-05
XLK,2026-01-06
XLK,2026-01-07
XLK,2026-01-08
XLK,2026-01-09
XLK,2026-01-12
XLK,2026-01-13
XLK,2026-01-14
XLK,2026-01-15
