event_id,ticker,announce_date,timing,surprise_pct,reaction_date,reaction_ret,reaction_dir,drift_1d,abn_drift_1d,label_1d,drift_3d,abn_drift_3d,label_3d,drift_5d,abn_drift_5d,label_5d,drift_10d,abn_drift_10d,label_10d,drift_20d,abn_drift_20d,label_20d
PLTR_2025-11-03,PLTR,2025-11-03,AMC,25.46,2025-11-04,-0.0794,-1,-0.0149,-0.0184,continuation,-0.0672,-0.0608,continuation,0.0012,-0.0103,unclear,-0.1227,-0.1003,continuation,-0.0769,-0.0897,continuation
PLTR_2026-02-02,PLTR,2026-02-02,AMC,8.6,2026-02-03,0.0685,1,-0.1162,-0.1113,reversal,-0.1392,-0.1408,reversal,-0.1164,-0.1201,reversal,-0.1425,-0.1378,reversal,-0.0297,-0.0233,reversal
TSLA_2024-07-23,TSLA,2024-07-23,AMC,-16.15,2024-07-24,-0.1233,-1,0.0197,0.0249,reversal,0.0746,0.0681,reversal,0.0744,0.0567,reversal,-0.1122,-0.0705,continuation,0.0337,-0.0021,reversal
TSLA_2024-10-23,TSLA,2024-10-23,AMC,24.76,2024-10-24,0.2192,1,0.0334,0.0338,continuation,-0.0037,-0.0081,unclear,-0.0408,-0.0225,reversal,0.1399,0.1116,continuation,0.3039,0.279,continuation
TSLA_2025-01-29,TSLA,2025-01-29,AMC,-4.83,2025-01-30,0.0287,1,0.0108,0.0161,continuation,-0.0202,-0.0148,reversal,-0.0649,-0.067,reversal,-0.1108,-0.1185,reversal,-0.2681,-0.2501,reversal
TSLA_2025-04-22,TSLA,2025-04-22,AMC,-34.89,2025-04-23,0.0537,1,0.035,0.0139,continuation,0.1401,0.1113,continuation,0.1253,0.0896,continuation,0.1016,0.0536,continuation,0.3345,0.2459,continuation
TSLA_2025-07-23,TSLA,2025-07-23,AMC,-0.97,2025-07-24,-0.082,-1,0.0352,0.031,reversal,0.0521,0.0508,reversal,0.0097,0.0134,unclear,0.0556,0.059,reversal,0.0485,0.0467,reversal
TSLA_2025-10-22,TSLA,2025-10-22,AMC,-12.16,2025-10-23,0.0228,1,-0.034,-0.0422,reversal,0.0258,0.003,continuation,-0.0198,-0.0318,reversal,-0.0068,-0.0047,unclear,-0.1197,-0.0911,reversal
TSLA_2026-01-28,TSLA,2026-01-28,AMC,-29.32,2026-01-29,-0.0345,-1,0.0332,0.0362,reversal,0.013,0.0195,reversal,-0.0465,-0.0228,continuation,0.0012,0.0196,unclear,-0.0337,-0.0221,continuation
TSLA_2026-04-22,TSLA,2026-04-22,AMC,17.15,2026-04-23,-0.0356,-1,0.0069,-0.0008,unclear,0.0062,0.0016,unclear,0.0212,0.0068,reversal,0.1019,0.0692,reversal,0.1181,0.0697,reversal
