event_id,ticker,t0_utc,direction,cluster_len,peak_abs_ret_3_bp,peak_z_ret_3,peak_volume_mult,peak_range_mult,peak_impact_mult,event_window_start,event_window_end,val_window_start,val_window_end,event_return,forward_return_60m,label_proxy,strength_score,keep_reason
COIN_20250214_141000,COIN,2025-02-14 14:10:00+00:00,-1,15,354.9944920223158,6.548359583266916,185.5977269328548,17.303026073206382,1.4339821575118612,2025-02-14 13:55:00+00:00,2025-02-14 14:10:00+00:00,2025-02-14 14:15:00+00:00,2025-02-14 15:10:00+00:00,-0.0049521857923496,-0.0402049081860306,continuation,0.8740640842686003,min_quota
COIN_20260324_132500,COIN,2026-03-24 13:25:00+00:00,-1,17,445.89710884353593,5.586500720945612,476.14158607350095,13.542195811592386,0.5020711853356747,2026-03-24 13:10:00+00:00,2026-03-24 13:25:00+00:00,2026-03-24 13:30:00+00:00,2026-03-24 14:25:00+00:00,-0.0051068943073148,-0.0607417845100901,continuation,0.8738914323275255,min_quota
COIN_20250121_143000,COIN,2025-01-21 14:30:00+00:00,-1,27,442.03152364272745,6.581986714450203,216.96705374021064,18.582876819000745,1.0175574428697614,2025-01-21 14:15:00+00:00,2025-01-21 14:30:00+00:00,2025-01-21 14:35:00+00:00,2025-01-21 15:30:00+00:00,-0.0060000000000001,-0.0541304972693301,continuation,0.8736795151143222,min_quota
COIN_20250822_133500,COIN,2025-08-22 13:35:00+00:00,-1,21,576.4052648303375,7.5208411603671665,642.1423662248404,85.73345882888249,0.1517725458764604,2025-08-22 13:20:00+00:00,2025-08-22 13:35:00+00:00,2025-08-22 13:40:00+00:00,2025-08-22 14:35:00+00:00,-0.0065951225995083,0.0591648689777422,reversal,0.8720170780853023,min_quota
COIN_20240903_133000,COIN,2024-09-03 13:30:00+00:00,-1,22,314.21305453517954,6.551913107216983,386.256243213898,38.56876954572002,0.5431129708289129,2024-09-03 13:15:00+00:00,2024-09-03 13:30:00+00:00,2024-09-03 13:35:00+00:00,2024-09-03 14:30:00+00:00,-0.0129083326389833,-0.021547176098184,continuation,0.8568362786645836,min_quota
COIN_20251215_142000,COIN,2025-12-15 14:20:00+00:00,-1,15,287.40523642047486,6.7058384174411385,604.9163822525597,47.40294235470929,0.7993895021671762,2025-12-15 14:05:00+00:00,2025-12-15 14:20:00+00:00,2025-12-15 14:25:00+00:00,2025-12-15 15:20:00+00:00,-0.0031734179578123,-0.0548689138576778,continuation,0.8564107383397919,min_quota
COIN_20260223_142500,COIN,2026-02-23 14:25:00+00:00,-1,29,305.1556539928568,5.558713969144727,329.9458762886598,12.637334624842184,1.122481780933409,2026-02-23 14:10:00+00:00,2026-02-23 14:25:00+00:00,2026-02-23 14:30:00+00:00,2026-02-23 15:25:00+00:00,-0.0103639287628803,-0.0020162503761661,unclear,0.8555506537884272,high_strength_unclear
COIN_20250605_131000,COIN,2025-06-05 13:10:00+00:00,1,15,343.15465625370354,6.120506866440754,474.301054650048,47.716071506622185,0.2411021488437706,2025-06-05 12:55:00+00:00,2025-06-05 13:10:00+00:00,2025-06-05 13:15:00+00:00,2025-06-05 14:10:00+00:00,0.0061525364702239,-0.0137681716791014,reversal,0.8545988836656122,min_quota
COIN_20250701_131500,COIN,2025-07-01 13:15:00+00:00,1,32,261.5791795324185,6.322780558597032,387.62588749317314,17.141639356504296,0.9436986167534608,2025-07-01 13:00:00+00:00,2025-07-01 13:15:00+00:00,2025-07-01 13:20:00+00:00,2025-07-01 14:15:00+00:00,0.0032651860567731,0.0218436638714596,continuation,0.8450817006073792,min_quota
COIN_20250722_132500,COIN,2025-07-22 13:25:00+00:00,-1,23,419.27771486095054,6.283820363670076,267.8627505567929,24.625681035626304,0.3952099732275135,2025-07-22 13:10:00+00:00,2025-07-22 13:25:00+00:00,2025-07-22 13:30:00+00:00,2025-07-22 14:25:00+00:00,-0.0040880353662594,-0.0443174550140803,continuation,0.8411033974859463,min_quota
COIN_20250422_133000,COIN,2025-04-22 13:30:00+00:00,1,5,402.5021538923168,6.566077974647209,319.3071841453344,27.961881206211796,0.0654550199136103,2025-04-22 13:15:00+00:00,2025-04-22 13:30:00+00:00,2025-04-22 13:35:00+00:00,2025-04-22 14:30:00+00:00,0.015510820332159,0.031035694187016,continuation,0.8400345440127093,min_quota
